№,Секунда,Микросекунда
1,22,574104
2,22,584591
3,22,595104
4,22,605616
5,22,615852
6,22,626065
7,22,636435
8,22,646739
9,22,656929
10,22,667152
11,22,677338
12,22,687517
13,22,697718
14,22,708297
15,22,718866
16,22,729373
17,22,739997
18,22,750542
19,22,761131
20,22,771691
21,22,782254
22,22,792788
23,22,803025
24,22,813502
25,22,823976
26,22,834213
27,22,844529
28,22,855156
29,22,865365
30,22,875544
31,22,885963
32,22,896245
33,22,906635
34,22,916888
35,22,927232
36,22,937408
37,22,947599
38,22,957872
39,22,968089
40,22,978405
41,22,989013
42,22,999732
43,23,10252
44,23,20876
45,23,31405
46,23,41881
47,23,52164
48,23,62452
49,23,72642
50,23,82903
51,23,93311
52,23,103683
53,23,113882
54,23,124255
55,23,134706
56,23,144891
57,23,155093
58,23,165302
59,23,175596
60,23,185791
61,23,196230
62,23,206497
63,23,216694
64,23,227001
65,23,237364
66,23,247593
67,23,258050
68,23,268499
69,23,278983
70,23,289418
71,23,300052
72,23,310664
73,23,321280
74,23,331702
75,23,342297
76,23,352867
77,23,363299
78,23,373904
79,23,384590
80,23,395204
81,23,405952
82,23,416524
83,23,426958
84,23,437958
85,23,448724
86,23,459483
87,23,470443
88,23,481405
89,23,492336
90,23,503269
91,23,513996
92,23,524672
93,23,535337
94,23,545700
95,23,556160
96,23,566504
97,23,577051
98,23,587472
99,23,598149
100,23,608450
101,23,618994
102,23,629692
103,23,640218
104,23,650727
105,23,660938
106,23,671535
107,23,682127
108,23,692683
109,23,703274
110,23,713890
111,23,724545
112,23,735102
113,23,745767
114,23,756451
115,23,767035
116,23,777588
117,23,788193
118,23,798729
119,23,809339
120,23,819942
121,23,830264
122,23,840895
123,23,851414
124,23,861535
125,23,871817
126,23,882007
127,23,892649
128,23,902850
129,23,913016
130,23,923409
131,23,933656
132,23,943999
133,23,954485
134,23,965080
135,23,975579
136,23,986364
137,23,997015
138,24,7664
139,24,17806
140,24,27976
141,24,38507
142,24,49156
143,24,59295
144,24,69661
145,24,79848
146,24,90077
147,24,100383
148,24,110925
149,24,121393
150,24,131773
151,24,142342
152,24,152796
153,24,163020
154,24,173569
155,24,184334
156,24,195281
157,24,206198
158,24,217024
159,24,227798
160,24,238163
161,24,248598
162,24,258938
163,24,269533
164,24,279995
165,24,290267
166,24,301029
167,24,311992
168,24,322983
169,24,333625
170,24,344610
171,24,355501
172,24,366215
173,24,376775
174,24,387665
175,24,398455
176,24,409417
177,24,420239
178,24,430911
179,24,441876
180,24,452792
181,24,463751
182,24,474710
183,24,485680
184,24,496639
185,24,507585
186,24,518605
187,24,529479
188,24,540240
189,24,551083
190,24,562016
191,24,572844
192,24,583638
193,24,594537
194,24,605225
195,24,615842
196,24,626843
197,24,637470
198,24,648402
199,24,658994
200,24,669538
201,24,680407
202,24,690956
203,24,701587
204,24,711831
205,24,722426
206,24,733029
207,24,743273
208,24,753723
209,24,764147
210,24,774640
211,24,785290
212,24,795769
213,24,806230
214,24,816837
215,24,827455
216,24,838077
217,24,848838
218,24,859798
219,24,870761
220,24,881728
221,24,892697
222,24,903643
223,24,914710
224,24,925620
225,24,936227
226,24,947185
227,24,958117
228,24,969078
229,24,980029
230,24,990966
231,25,1912
232,25,12531
233,25,23538
234,25,34034
235,25,44773
236,25,55392
237,25,65814
238,25,76175
239,25,86760
240,25,97321
241,25,108012
242,25,118608
243,25,129214
244,25,139846
245,25,150611
246,25,161522
247,25,172441
248,25,183384
249,25,194291
250,25,205250
251,25,216135
252,25,227076
253,25,237650
254,25,248303
255,25,258895
256,25,269489
257,25,280102
258,25,290708
259,25,301323
260,25,311983
261,25,322623
262,25,333546
263,25,344312
264,25,355198
265,25,365924
266,25,376871
267,25,387420
268,25,397639
269,25,408136
270,25,418684
271,25,429199
272,25,439639
273,25,450011
274,25,460510
275,25,471458
276,25,482004
277,25,492724
278,25,502940
279,25,513406
280,25,523954
281,25,534716
282,25,545639
283,25,556544
284,25,567085
285,25,577305
286,25,587660
287,25,597936
288,25,608584
289,25,619339
290,25,630084
291,25,640763
292,25,650983
293,25,661491
294,25,672008
295,25,682354
296,25,692707
297,25,703493
298,25,713828
299,25,724321
300,25,734674
